text,label_name
according gran plans production russia growing,neutral
"technopolis plans develop stages area 100,000 square meters order host companies working computer technologies telecommunications statement",neutral
request media alma media newspapers research manager jari research centre turku school future national economy model developed university,neutral
sweden gallerix sek denominated denominated 11,neutral
supports global customers developing technologies offers fast route product development applications volume production,neutral
investment place atria plans expand moscow,neutral
agreement continuation signed earlier lemminkainen cramo acquired entire construction machine fleet talo oy signed asimilar agreement managing director,neutral
june sold 30 percent stake nordstjernan investment taken option acquire eqt remaining shares,neutral
stock exchange announcement 20 july 2006 basware subscriptions warrants increase capital total shares subscribed basware warrant program,neutral
plant planned electricity generation capacity 350 mw heat generation capacity,neutral
growth cars considerably tires,neutral
maximum shares subscribed exercising options 2004 stock option plan,neutral
result issue number shares increases shares capital total,neutral
real estate investor sponda plc wednesday 12 march signed agreements danske bank helsinki branch eur150 credit facility ilmarinen mutual pension insurance eur50 credit facility,neutral
route helsinki tallinn estonia cargo volumes increased 36 cargo volumes sweden fell,neutral
measures included increasing synergies scale grimaldi personnel adjustments excess,neutral
telecomworldwire-7 april 2006 tj plc sells stake morning digital design oy tj plc friday april signed agreement selling shares morning digital design oy edita,neutral
series shares subject trading helsinki stock exchange main list old series shares july 2006,neutral
fuel purchase contracts signed months delivery september november,neutral
tiimari operates stores countries -- including core -- generated turnover 2005,neutral
coming point allows investigators story high resolution video,neutral
kalmar generated 11.3 euro 2005,neutral
structures bim building information modeling software tekla model based software provider construction management delivery university project,neutral
aviation systems maintenance based kansas generated usd 2.6,neutral
editor note grimaldi generated 1.7 bln euro bln turnover 2005 ansa reported 29 2006,neutral
generated revenue nok approx,neutral
incap estimates generate revenue 10 euro 13.2 indian operations,neutral
total annual revenue comes 160 .3 euro,neutral
real generated turnover eur5 .6 bn 2006 employees,neutral
firm generated 2005,neutral
vacon supply drives power range 200 kw mw,neutral
componenta published long term strategy 2011 2015 aim growing customers,neutral
olvi target strengthen soft drinks mineral ciders long drinks energy drinks,neutral
stockmann signed contract technopolis,neutral
according notice ab publ helsinki branch 10 august divested total alma media shares ilkka yhtyma kaleva kustannus oy conditions agreement companies july,neutral
previously announced geosentric entered financing agreements lead investor june 30 enabling receive financing aggregate,neutral
time automated liquid handling devices larger pipettes according biohit,neutral
efore ceo reijo developed delivered power supply units respective systems based technology chinese sector corp,neutral
talvivaara mining co hel thursday picked bofa merrill lynch jpmorgan nyse jpm joint planned issue convertible notes worth,neutral
lemminkainen signed credit agreements nordea bank sto nda pohjola bank hel poh1s sampo bank hel samas svenska handelsbanken sto shb,neutral
pohjola increase stake 45 2013,neutral
scandic feed diversify product portfolio,neutral
agreement series contracts teliasonera signed recent months residential construction real estate management companies sweden,neutral
estimated value contract eur12 .4 vaisala headquartered helsinki develops manufactures electronic measurement systems meteorology environmental sciences traffic industry,neutral
mall baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment developing homes people,neutral
facility known technopolis pulkovo introduce russian entirely concept creating growing commercially funded science technology park support growth knowledge intensive companies,neutral
vacon controls investment fund power fund 1.0 usd,neutral
order included wartsila order book second added,neutral
management decided end 2005 increase copper capacity,neutral
complete shareholder otto henrik bernhard nyberg information shares transferred corresponds total number shares aspo plc,neutral
data processing unit data calculates values provides data users interfaces,neutral
alexandria va march 28 -- pertti oulu sami ii developed ornamental design handset patent trademark office announced,neutral
alexandria va oct -- helsinki juha arto developed system providing communications security,neutral
earlier reported nokian tyres building plant town vsevolozhsk russia leningrad region annual production capacity tires,neutral
biohit inc expanded family pipettors addition 10 ml volume range,neutral
capman alternative asset manager acquisition helsinki focused vehicle real estate fund fund bought seven story office built refurbishment end,neutral
compared ftse 100 index rose points 0.9 day relative price change,neutral
deliveries start later volume increase years 2011 2012,neutral
heat retaining fireplaces maker tulikivi august 29 local utility ceramics subsidiary kermansavi oy merge tulikivi means order streamline latest corporate structure,neutral
german ag branch jp morgan nyse jpm participated dutch ing co,neutral
april 2005 neste separated parent energy fortum listed helsinki stock exchange,neutral
russia raisio food division home way,neutral
increase number shares based option rights granted management stock option plan 2006,neutral
30 offices worldwide 90 pct generated outside,neutral
branches annual revenue,neutral
afx italian shipping grimaldi increased stake finnlines 35.4 pct pct held june according news agency ansa,neutral
nokia messaging 1.1 enables customers receive mails 10 mail accounts mobile phone supporting mail,neutral
repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,neutral
solidium picked tikkurila shares dividend book value eur15,neutral
carry transaction acquiring entire capital parkano oy runs factory parkano southern,neutral
building owner developer sun kai properties largest property companies hong kong developing types premium residential commercial projects sale investment,neutral
companies aim negotiations sign contracts start october,neutral
companies signed letter intent sale 17 september envisaged seal actual agreement january 2011,neutral
contract signed yesterday run years includes extension option,neutral
contract covers installation training start,neutral
contract value amounts eur11 added,neutral
expanded agreement covers sale marketing distribution benefon navigation devices china,neutral
tietoenator signed agreement acquire indian research development r&d provider turnkey software solutions developer technologies pvt ltd 21 euro september,neutral
number means creating added value stakeholders,neutral
provides summary medical equipment pipeline products developing,neutral
course talks coming projects involve material handling konecranes president ceo pekka lundmark asked talking industries supplying equipment refinery,neutral
ruukki included djsi world second running european djsi stoxx running,neutral
sale oxygen measurement strengthens goal focus chosen segments,neutral
corresponding increase euros ahlstrom capital entered trade register today,neutral
august latvijas finieris ordered production lines green veneer mill built ukmerge central lithuania,neutral
house manufacturers targeting strongly growing family house russia,neutral
aldata number operational defined microsoft details product initiatives resulting agreement available later date,neutral
alexandria va july 11 -- hannu developed ornamental design handle fire pit door patent trademark office announced,neutral
alexandria va 16 -- calif developed ornamental design handset patent trademark office announced,neutral
aspocomp intends set plant manufacture printed circuit boards investment crore,neutral
baltic pearl cjsc subsidiary shanghai foreign joint investment developing project st petersburg comprising square meters residential space hospitals,neutral
biohit develops manufactures markets liquid handling products diagnostic test systems use research healthcare industrial laboratories,neutral
calls decreased significantly employees date contact information colleagues customers phone place directly,neutral
cargotec capital increase totals euros,neutral
cargotec capital increase totals,neutral
food raisio hel raivv friday divestment margarine operations sector player bunge ltd nyse bg eur80 .2,neutral
paper maker upm kymmene corp monday announced sale unit capman investment concentrate core,neutral
following increase tm capital totals 5.5 euro,neutral
generated 9.3 usd 13.1,neutral
august latvijas finieris ordered production lines green veneer mill built ukmerge lithuania,neutral
supporting storengy investment developing storage sites 2006 owner engineer,neutral
mr ashley deputy executive chairman sports direct sold stake pounds 900 time float,neutral
rental building equipment accounted 88 percent income,neutral
ruukki delivery includes steel structures including installation bridge steel bridge,neutral
sanoma continue focus investing digital media strengthening positions,neutral
stockmann established foreign enter russia retail trade 1989,neutral
acquisition suomen helasto strategy expand security chain suomen helasto ceo,neutral
broad based index ended thursday 0.1 pct pts blue chip 1.13 pts,neutral
divested generates consolidated 60 annually currently 640 employees,neutral
generates 600 euro annually employs,neutral
plans spend proceeds rights offering strengthening balance sheet,neutral
contract covers manufacturing surface treatment installation steel structures,neutral
corresponding increase capital entered trade register today,neutral
corresponding increase capital total registered trade register,neutral
corresponding increase capital subscriptions warrants total registered trade register january,neutral
corresponding capital increase entered trade register today,neutral
order includes start commissioning,neutral
order consists capacity expansion maintenance charging functionality,neutral
phones targeted time users growth markets,neutral
repayment 105 debenture bonds related previous announcement october 21 collect selling commitments holders subordinated debenture bonds,neutral
revenues reached nok 12,neutral
generated 7.5 euro 9.6 2005,neutral
tikkurila powder coatings 50 employees paint plants generated revenues eur2 .4 .3,neutral
district judge douglas yesterday extended jan 17 temporary order march,neutral
uk sarantel outsource processes elcoteq plant estonia london oct 13 bns british antennas maker sarantel signed agreement outsource assembly test supply chain processes plant elcoteq estonian capital tallinn,neutral
rental agreement stockmann committed invest building bridge street build underground tunnel street 2004,neutral
long term investments developing system implementation model,neutral
subscription fortum ownership tgk-10 increased slightly 76 shares voting rights,neutral
generates annual employs 21 people,neutral
operations norway russia acquired july 2005 included figures comparable growth starting august,neutral
cencorp headquartered develops supplies automation solutions electronics semiconductor industry enhance productivity,neutral
following increase huhtamaki registered capital number shares outstanding,neutral
following increase huhtamaki registered capital .62 number shares outstanding,neutral
supplied 200 mw power generating equipment number projects papua guinea including 12 engines wartsila 32 type lihir gold,neutral
agreement funding biotie research activities 10 program start late 2006 sole authority develop,neutral
omx forwards mature 16 novator oy direct shareholding amer sports corporation fifth shares voting rights,neutral
tests larger campaign includes customer trials demonstrations lte 800 mhz commercially viable summer nokia siemens head lte line,neutral
helsinki october 22 ssh communications security corp board directors information contact chairman tel +358 400 distribution nasdaq omx helsinki ltd,neutral
adds acquisition portfolio worth,neutral
offer 30 shares aimed raise x20ac 500 us$ 640 expected completed oct outokumpu,neutral
ponsse plans create network based strong partnership production larger entities presently,neutral
january 29 largest nordic bank nordea retail chain stockmann launched regionally unique cooperation project introduce common mastercard credit card enabling payments different states stores,neutral
qpr established international customer base spread 70 countries variety organizations including banks manufacturing companies service companies government authorities,neutral
according publisher publish books publisher provide value added information,neutral
cameco provide investment usd construction uranium extraction circuit,neutral
cdp established initiative institutional investors annually published results interest increasing number customers interest groups reporting companies,neutral
original contract signed summer,neutral
quality lte solution commitment japanese added,neutral
alexandria va oct 15 -- hampshire great britain developed ornamental design handset patent trademark office announced,neutral
hybrid bond 18 january consultancy trainers house hel trh1v friday resolved issue eur5 hybrid bond domestic investors bid strengthen capital structure,neutral
reasons estimate include rise rent levels fully leased office retail properties completed added investment property portfolio,neutral
unit developed focus especially manufacture products demanding testing,neutral
recorded 43 2006 generated exports customers western europe statement,neutral
job losses related reductions place,neutral
"result includes 400,000 euro 575,000 sizing manufacturing ireland",neutral
state program worked legal developed rules documents specified technological park,neutral
neste oil build biodiesel production facility netherlands estimated cost 670 euros france based project main contractor,neutral
european central bank ecb anticipated raise benchmark interest rate second half 2011 earliest,neutral
exports 80 cent glaston reflects truly internationally explains kyro president ceo mika,neutral
ict plc shares increase capital based extraordinary shareholders meeting 27 december today registered trade register,neutral
shareholder code born information contact ceo tel +358,neutral
patja worked decade fujitsu bid competitive,neutral
2005 cargotec exceeded 2.3 billion,neutral
goal achieved organic growth possibly acquisitions,neutral
balanced broad portfolio sports presence major markets,neutral
estimated 30 pct mobile calls home france telecom hopes 15 pct orange clients sign service end,neutral
potential clients growing environmental recycling technology sectors,neutral
metso paper delivery comprise advantage 200 machine including quality control distributed control systems,neutral
totalled 329 margin 19,neutral
nokia provide indosat turnkey including civil works network planning implementation integration wcdma 3g hspa network,neutral
stora enso record capital gain 33 non recurring financial item fourth 2006 results,neutral
newspapers alma media arena partners enter cooperation agreement alma marketplace respective regions,neutral
choose basware tools financial service like natural continuation cooperation says financial applications manager neste oil corporation,neutral
honka subsidiaries france germany benefit example customer events conjunction world,neutral
amendment financial covenants present credit agreements situation 30 september,neutral
foundation sustainable development long term,neutral
inventor issued patent,neutral
incap corporation stock exchange release 8.30 incap corporation directed issue subscribed board incap corporation approved subscriptions directed issue,neutral
amer sports industrial site france announcement distributed thomson reuters behalf thomson reuters clients,neutral
simultaneously responsibility area extended legal affairs cover acquisitions,neutral
board directors proposed extraordinary general meeting board decide issuance maximum 30mn shares issues,neutral
bg crane strong partner hiab australia years,neutral
plants ground continue grow success garden lies,neutral
"purchase sites worth 300 provide 1,200 homes",neutral
poyry contract includes engineering management civil detail engineering time procurement,neutral
brand portfolio includes leading brand industry rapala global brands like vmc blue jensen,neutral
friendly opinion fast,neutral
thanks nokia proud published novel found,neutral
summer collection fresh like injection h&m head design van den bosch,neutral
maximum 20 employees work responsible producing geographic information affected added,neutral
midnighttrader midnighttrader premier source extended hours equity trading analysis news retail institutional investment community,neutral
juha pekka appointed president telecom teliasonera succeed rautalinko,neutral
according doctors patients time visit doctors,neutral
according original merger plan scanfil stake combined,neutral
according software acquired managed change mobile phone way phone able hold time sent bank text message,neutral
additionally retailers use hardware tasks stores warehouse providing substantial savings support infrastructure costs,neutral
include personal care activities daily living therapies day care,neutral
aldata solution bertrand sciard president ceo information aldata solution bertrand sciard president ceo tel 46 48 28 aldata 100 retail wholesale aldata 100 dedicated retail wholesale improvement,neutral
alfa 43.9 voting stock telenor 35.4 free float,neutral
welcome,neutral
altogether 150 cholesterol levels participated month long,neutral
additional eur12 payable cash certain financial performance targets,neutral
arto born replace juhani worked acting evp healthcare august,neutral
capman responsible finances accounting,neutral
systems corp madison square garden division owns operates york basketball team madison square garden arena york hockey team york basketball team pack hockey team,neutral
capman investment areas capman buyout capman technology capman life science capman russia capman public capman real estate dedicated team funds,neutral
capman plc press release 31 march jukka president omx nordic stockholm stock exchange transfer capman effective later september,neutral
cents profile contains operations history major products prospects key competitors structure key employees locations subsidiaries,neutral
conference participate conference 10 beginning event +44 20 europe +1 usa,neutral
construction scheduled start april june completed early,neutral
financialwire tm fully independent proprietary news wire service,neutral
civil aviation administration decided temporarily capital helsinki airport pm 11 pm monday local time,neutral
founded strand associates provides civil environmental transportation electrical mechanical engineering 350 employees 10 offices ohio,neutral
office acknowledged letter declined comment,neutral
believe hkscan atria start use imported meat consumers prefer domestic products,neutral
headquartered city nearly 75 years old focuses science based innovation technology environmental measurement,neutral
march government st petersburg building area square metres land plot hotel worth usd 10,neutral
"lee man combined annual production capacity close 4.5 tonnes paper 300,000 tonnes pulp",neutral
method smelt spouts separated working area wall 10 arranged smelt spouts,neutral
investments product investment types including retail office residential interests real estate non loans corporate,neutral
raw material kemira water chemical production,neutral
necessary strengthen operations,neutral
use proceeds transaction achieve target,neutral
le lay walter based,neutral
lemminkainen infra oy subsidiary lemminkainen sverige ab perform construction work expected start early 2011 completed summer 2013,neutral
los angeles based pacific office properties trust acquires owns operates office properties western focusing initially markets san los angeles,neutral
master jointly developed nokia siemens networks actively maxis end,neutral
medical devices russia brand analysis gives clear overview actual situation future outlook medical device russia,neutral
mformation provides enhanced management applications enabling control lifecycle,neutral
mr jorma valkama managing director suomen paikallissanomat oy states complements outstanding way current product range,neutral
mr mikko head comptel global concludes provides perfect variety technical regulatory challenges operators oss today,neutral
neste oil results biomass liquids demonstration plant commissioned june promising decision commercial plant taken,neutral
nokia continue invest future development qt digia responsible commercial licensing,neutral
nonwovens specialty papers ahlstrom large variety products eg filters wipes labels,neutral
nokia announced launch charger kit compatible nokia phones charging interface,neutral
basis competitive bidding ooo russian subsidiary china state construction engineering corporation construction owned china state selected main constructor,neutral
time nokia india largest approaches emerging markets,neutral
potential clients include public administration organizations investing utility networks,neutral
solutions fully message want partner choice businesses near east region,neutral
poyry plc additional information martin president industry tel +358 10 33 director investor relations poyry plc tel +358 10 33 poyry global consulting engineering dedicated balanced sustainability,neutral
professional consumer applications include personal navigation personal safety field workflow management asset tracking,neutral
satama trainers house remain names independent brands areas,neutral
says relocation application programs servers continue hp servers approved hp supplying tailor solution elisa,neutral
tekla structures 16 team compatible windows system,neutral
"mentioned shareholders monthly salary 1,400 paid board members outside",neutral
address location provided local controller wireless transmission uses address location access control module,neutral
aim bridge solutions chosen construction times traffic bridge canal continues,neutral
bank examining benefits transferring swedish operate branch office operations,neutral
36 months relatively short time russia,neutral
wide selection metal products,neutral
charge natural gas storage activities france great britain germany,neutral
cooperation airbaltic expected lead transfer ownership airbaltic time,neutral
court decision promote genuine competition,neutral
daily graphic newspaper october reported initiative fidelity bank partner ghana post offices country offer financial unbanked banked country,neutral
device protection positioning vehicles boats assets,neutral
donations granted university universities helsinki tampere turku eastern oulu vaasa polytechnics announced later,neutral
estonian beverages maker le coq today brought premium class beer le coq special investing kroons development planning sell liters beer,neutral
phase completed end 2012,neutral
guidance set 90 basis points mid swaps report,neutral
invention carries international patent publication,neutral
inventors,neutral
inventors,neutral
inventors,neutral
issuer solely responsible content announcement,neutral
issuer solely responsible content announcement,neutral
making accordance agreement begin september 24,neutral
offer price 35 including cash 10 debt assumption face 20 worth cencorp shares issued savcor,neutral
ore body sufficient support anticipated production 46 years,neutral
original patent filed application,neutral
relocation ragot started completed weeks waterqueen tortue planned vmc europe,neutral
paid basis 2011 correspond value maximum total componenta corporation shares including proportion paid cash,neutral
right margin viewed separately detail customer,neutral
service enables users watch mails format en enhanced 23 addition languages choose,neutral
swedish subsidiary holds 1.0 smelter return advanced copper projects northern sweden projects developed minerals ltd asx,neutral
total investment vantaa plant extension 10 euro okmetic investments worth 2.7,neutral
value deal eur500 000,neutral
implementation upgrade existing system enabling video mail platform,neutral
travel expenses reimbursed accordance travel policy,neutral
welcome,neutral
wellness important future,neutral
need ready window opens,neutral
tikkurila color life,neutral
ltd substantial holder consolidated january 25 150 shares 7.9 pc,neutral
ltd substantial holder exploration ltd january 12 11.7 shares pc,neutral
decision discussions closed kai telanne alma media ceo,neutral
directors shareholders ask allowed continue,neutral
partner allowed buy electricity corresponding consortium production cost letter intent,neutral
issues stonesoft affect range content inspection technology,neutral
want credit card personal details,neutral
hope clarify policies businesses gray areas,neutral
relevant authority approvals mandatory bid required securities markets act,neutral
